Category,Filename,Title,Spectrum type,Real data or calculated model?,Image path,Image link,Big image path,Big image link,How,Source (text),Source (hyperlink),Source 2 (text),Source 2 (hyperlink),Credit,Additional Info,Notes
Exoplanets,WASP_39b,WASP-39b,Transmission,,Exoplanets/WASP_39b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/WASP_39b.jpg,,,,,,,,,,
Exoplanets,HD189733b,HD 189733b,Transmission,,Exoplanets/HD189733b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/HD189733b.jpg,,,,,,,,,,
Exoplanets,HAT_P_12b,HAT-P-12b,Transmission,,Exoplanets/HAT_P_12b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/HAT_P_12b.jpg,,,,,,,,,,
Exoplanets,WASP_121b,WASP-121b,Transmission,,Exoplanets/WASP_121b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/WASP_121b.jpg,,,,,,,,,,
Exoplanets,HD209458b,HD 209458b,Transmission,,Exoplanets/HD209458b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/HD209458b.jpg,,,,,,,,,,
Exoplanets,WASP_12b,WASP-12b,Transmission,,Exoplanets/WASP_12b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/WASP_12b.jpg,,,,,,,,,,
Exoplanets,K2_18b,K2-18b,Transmission,,Exoplanets/K2_18b.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanets/K2_18b.jpg,,,,,,,,,,
Exoplanet Models,Clear_Hot_Jupiter_Model_Transmission,Clear Hot Jupiter Model Transmission,Transmission,Calculated Model,Exoplanet_Models/Clear_Hot_Jupiter_Model_Transmission.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanet_Models/Clear_Hot_Jupiter_Model_Transmission.jpg,,,Computer generated based on scientific assumptions about composition of this type of planetary atmosphere,doi:10.1038/nature16068,https://www.nature.com/articles/nature16068,https://arxiv.org/pdf/1512.04341,https://arxiv.org/pdf/1512.04341,"Sing, D. K., Fortney, J. J., Nikolov, N., Wakeford, H. R., Kataria, T., Evans, T. M., ... & Wilson, P. A. (2016). A continuum from clear to cloudy hot-Jupiter exoplanets without primordial water depletion. Nature, 529(7584), 59-62.",,
Exoplanet Models,Cloudy_Hot_Jupiter_Model_Transmission,Cloudy Hot Jupiter Model Transmission,Transmission,Calculated Model,Exoplanet_Models/Cloudy_Hot_Jupiter_Model_Transmission.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanet_Models/Cloudy_Hot_Jupiter_Model_Transmission.jpg,,,Computer generated based on scientific assumptions about composition of this type of planetary atmosphere,doi:10.1038/nature16068,https://www.nature.com/articles/nature16068,https://arxiv.org/pdf/1512.04341,https://arxiv.org/pdf/1512.04341,"Sing, D. K., Fortney, J. J., Nikolov, N., Wakeford, H. R., Kataria, T., Evans, T. M., ... & Wilson, P. A. (2016). A continuum from clear to cloudy hot-Jupiter exoplanets without primordial water depletion. Nature, 529(7584), 59-62.",,
Exoplanet Models,Hazy_Hot_Jupiter_Model_Transmission,Hazy Hot Jupiter Model Transmission,Transmission,Calculated Model,Exoplanet_Models/Hazy_Hot_Jupiter_Model_Transmission.jpg,https://smithsonian.github.io/si_website_spectrum_lab/includes/SpecLab_Data_Files/Exoplanet_Models/Hazy_Hot_Jupiter_Model_Transmission.jpg,,,Computer generated based on scientific assumptions about composition of this type of planetary atmosphere,doi:10.1038/nature16068,https://www.nature.com/articles/nature16068,https://arxiv.org/pdf/1512.04341,https://arxiv.org/pdf/1512.04341,"Sing, D. K., Fortney, J. J., Nikolov, N., Wakeford, H. R., Kataria, T., Evans, T. M., ... & Wilson, P. A. (2016). A continuum from clear to cloudy hot-Jupiter exoplanets without primordial water depletion. Nature, 529(7584), 59-62.",,
Thermal Spectra,230K_blackbody,230 K Blackbody,Emission,,,,,,,,,,,,,
Thermal Spectra,312K_blackbody,312 K Blackbody,Emission,,,,,,,,,,,,,
Thermal Spectra,450K_blackbody,450 K Blackbody,Emission,,,,,,,,,,,,,
Thermal Spectra,1200K_blackbody,"1,200 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,1500K_blackbody,"1,500 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,2500K_blackbody,"2,500 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,3000K_blackbody,"3,000 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,4000K_blackbody,"4,000 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,5800K_blackbody,"5,800 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,7000K_blackbody,"7,000 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,9000K_blackbody,"9,000 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,11400K_blackbody,"11,400 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,15000K_blackbody,"15,000 K Blackbody",Emission,,,,,,,,,,,,,
Thermal Spectra,30000K_blackbody,"30,000 K Blackbody",Emission,,,,,,,,,,,,,
